:START_ID,:TYPE,:END_ID
adri,FOLLOWS,agatha
adri,FOLLOWS,betty
adri,FOLLOWS,lola
adri,FOLLOWS,madeline
adri,FOLLOWS,Marianne
agatha,FOLLOWS,brad
agatha,FOLLOWS,eth
agatha,FOLLOWS,ruth
agatha,FOLLOWS,Sarah
amy,FOLLOWS,david91
amy,FOLLOWS,magicBob
amy,FOLLOWS,susy
anto83,FOLLOWS,amy
anto83,FOLLOWS,Marianne
anto83,FOLLOWS,ralph68
anto83,FOLLOWS,randi
betty,FOLLOWS,donny
betty,FOLLOWS,james96
betty,FOLLOWS,Sarah
bob,FOLLOWS,adri
bob,FOLLOWS,Marianne
bob,FOLLOWS,matty
bob,FOLLOWS,roy
brad,FOLLOWS,imanne
brad,FOLLOWS,john
brad,FOLLOWS,soJenny
christopher,FOLLOWS,jacob
christopher,FOLLOWS,magicBob
christopher,FOLLOWS,ruth
david91,FOLLOWS,amy
david91,FOLLOWS,lisa
david91,FOLLOWS,roy
Dia,FOLLOWS,eth
Dia,FOLLOWS,lorry
Dia,FOLLOWS,michael
donny,FOLLOWS,betty
donny,FOLLOWS,lola
donny,FOLLOWS,randi
eth,FOLLOWS,seli
Gabriel,FOLLOWS,bob
Gabriel,FOLLOWS,soJenny
imanne,FOLLOWS,adri
imanne,FOLLOWS,magicBob
imanne,FOLLOWS,matty
james96,FOLLOWS,amy
james96,FOLLOWS,ralph68
james96,FOLLOWS,seli
john,FOLLOWS,brad
john,FOLLOWS,lorry
john,FOLLOWS,Marianne
john,FOLLOWS,roy
john72,FOLLOWS,agatha
john72,FOLLOWS,Philip
john72,FOLLOWS,richard
lisa,FOLLOWS,james96
lisa,FOLLOWS,lola
lisa,FOLLOWS,Vince
lola,FOLLOWS,anto83
lola,FOLLOWS,magicBob
lola,FOLLOWS,ruth
lorry,FOLLOWS,adri
madeline,FOLLOWS,david91
madeline,FOLLOWS,roy
magicBob,FOLLOWS,james96
magicBob,FOLLOWS,roy
maria,FOLLOWS,amy
maria,FOLLOWS,david91
maria,FOLLOWS,lola
maria,FOLLOWS,seli
matt,FOLLOWS,amy
matt,FOLLOWS,james96
matt,FOLLOWS,Philip
matty,FOLLOWS,eth
matty,FOLLOWS,lisa
matty,FOLLOWS,magicBob
michael,FOLLOWS,bob
michael,FOLLOWS,john72
michael,FOLLOWS,lola
PaulPaul,FOLLOWS,donny
PaulPaul,FOLLOWS,john
PaulPaul,FOLLOWS,susy
Philip,FOLLOWS,anto83
Philip,FOLLOWS,Sarah
ralph68,FOLLOWS,amy
ralph68,FOLLOWS,matty
ralph68,FOLLOWS,magicBob
richard,FOLLOWS,Dani
roy,FOLLOWS,adri
roy,FOLLOWS,matt
Sarah,FOLLOWS,david91
Sarah,FOLLOWS,imanne
Sarah,FOLLOWS,lisa
Sarah,FOLLOWS,seli
seli,FOLLOWS,betty
seli,FOLLOWS,lisa
seli,FOLLOWS,magicBob
soJenny,FOLLOWS,brad
soJenny,FOLLOWS,james96
soJenny,FOLLOWS,randi
susy,FOLLOWS,agatha
susy,FOLLOWS,david91
susy,FOLLOWS,randi
susy,FOLLOWS,ruth
timJ,FOLLOWS,amy
timJ,FOLLOWS,lola
timJ,FOLLOWS,magicBob
timJ,FOLLOWS,seli
Vince,FOLLOWS,adri
Vince,FOLLOWS,brad
Vince,FOLLOWS,Philip
Vince,FOLLOWS,roy
Vince,FOLLOWS,Sarah
